epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3204,1.58174,2.34261,1.56854,0.64369,0.76634,0.71445,0.44344,1.2635,1.96779,1.32832,0.000250372,0.000250372,0.000250372
2,44.7988,1.21333,1.09948,1.26801,0.83047,0.88094,0.92517,0.63461,1.07293,0.74459,1.1769,0.000496673,0.000496673,0.000496673
3,61.9497,1.19359,0.93911,1.25718,0.82586,0.86592,0.91485,0.61333,1.10263,0.7647,1.21762,0.000732822,0.000732822,0.000732822
4,78.4174,1.16335,0.89248,1.25467,0.84336,0.89288,0.94664,0.63585,1.09974,0.74145,1.24867,0.000723321,0.000723321,0.000723321
5,95.0624,1.16256,0.84198,1.24494,0.92254,0.94496,0.97506,0.67601,1.08545,0.58899,1.17408,0.000708095,0.000708095,0.000708095
6,112.062,1.1287,0.78991,1.22215,0.93591,0.95017,0.97547,0.68371,1.10015,0.57102,1.17673,0.000692869,0.000692869,0.000692869
7,128.71,1.11527,0.74808,1.21231,0.9217,0.91305,0.9645,0.68332,1.0259,0.5725,1.12076,0.000677643,0.000677643,0.000677643
8,145.137,1.10094,0.73129,1.21542,0.95206,0.95608,0.98456,0.70533,1.03902,0.52386,1.15451,0.000662417,0.000662417,0.000662417
9,162.47,1.10858,0.72729,1.21399,0.94936,0.95672,0.98238,0.70307,1.00055,0.50602,1.1249,0.00064719,0.00064719,0.00064719
10,178.983,1.06042,0.68528,1.19338,0.95882,0.97184,0.9864,0.6912,1.06021,0.50101,1.12917,0.000631964,0.000631964,0.000631964
11,195.485,1.06615,0.67562,1.17434,0.97376,0.97917,0.99191,0.7198,0.9777,0.44845,1.10961,0.000616738,0.000616738,0.000616738
12,212.469,1.05186,0.65888,1.1773,0.96848,0.97794,0.99225,0.72731,0.99423,0.46691,1.11784,0.000601512,0.000601512,0.000601512
13,229.561,1.03992,0.65274,1.17673,0.95831,0.97526,0.99203,0.72716,0.98341,0.45739,1.11775,0.000586286,0.000586286,0.000586286
14,245.975,1.02821,0.63074,1.15616,0.97815,0.97788,0.99086,0.72232,0.96666,0.43868,1.1005,0.000571059,0.000571059,0.000571059
15,262.407,1.0364,0.61908,1.16448,0.97916,0.98452,0.99315,0.72732,1.00348,0.43329,1.10241,0.000555833,0.000555833,0.000555833
