                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5051,                 1.9605,                 1.6213,                0.70124,                0.76495,                 0.7794,                0.49358,                 1.1599,                 1.6901,                 1.3459,             0.00025037,             0.00025037,             0.00025037
                      2,                 1.1852,                 1.0232,                 1.3695,                0.85162,                0.82798,                 0.8879,                0.58486,                 1.1782,                 1.0289,                 1.3609,             0.00049667,             0.00049667,             0.00049667
                      3,                 1.1806,                0.95043,                 1.3618,                0.78738,                0.82663,                0.87137,                0.58177,                 1.1527,                0.92234,                 1.3295,             0.00073282,             0.00073282,             0.00073282
                      4,                 1.1728,                0.91714,                 1.3682,                0.89053,                0.84921,                0.92966,                0.63039,                 1.0872,                0.76465,                 1.3365,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.1314,                0.82873,                 1.3346,                0.91096,                0.91953,                0.96694,                0.68135,                 1.0362,                0.65376,                 1.2375,              0.0007081,              0.0007081,              0.0007081
                      6,                 1.1261,                0.78313,                 1.3288,                0.92899,                0.91835,                0.97363,                0.67089,                 1.0844,                0.62404,                 1.2424,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.1187,                0.76492,                 1.3161,                0.92603,                0.95249,                0.96939,                0.66675,                  1.098,                0.59445,                 1.2302,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.1063,                0.74422,                 1.3201,                0.94752,                0.95563,                0.98248,                 0.7023,                 1.0481,                0.53416,                 1.2247,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.1141,                0.73629,                 1.3173,                0.95435,                0.96817,                0.98658,                0.70956,                0.97815,                0.50593,                 1.2009,             0.00064719,             0.00064719,             0.00064719
                     10,                 1.0623,                0.70073,                 1.2926,                0.95762,                 0.9575,                0.98623,                0.70652,                  0.987,                0.50936,                 1.1734,             0.00063196,             0.00063196,             0.00063196
                     11,                 1.0572,                0.66432,                 1.2622,                0.97222,                0.96372,                0.99128,                0.70728,                  1.034,                0.48965,                 1.1898,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.0487,                0.65028,                 1.2681,                0.96323,                0.97987,                0.98834,                 0.7236,                0.97892,                0.48781,                  1.175,             0.00060151,             0.00060151,             0.00060151
                     13,                 1.0362,                0.66806,                 1.2664,                 0.9635,                0.97697,                0.99024,                0.72966,                0.97844,                0.45395,                  1.194,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.0229,                0.61069,                  1.252,                0.98146,                0.98019,                0.99079,                0.72949,                0.98111,                0.44757,                 1.1784,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.0263,                0.60452,                 1.2693,                0.97756,                0.97928,                0.99286,                0.72541,                0.96438,                0.44939,                    1.2,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.0124,                0.59491,                 1.2402,                0.98256,                0.98607,                0.99282,                0.73454,                0.97395,                0.44709,                 1.1861,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.0073,                0.59203,                  1.234,                0.98421,                0.99092,                 0.9921,                0.73004,                0.97278,                0.41511,                   1.17,             0.00052538,             0.00052538,             0.00052538
                     18,                0.99924,                0.57309,                 1.2439,                0.97261,                 0.9875,                0.98918,                0.73904,                0.97361,                0.42585,                  1.195,             0.00051015,             0.00051015,             0.00051015
                     19,                0.98674,                0.56425,                  1.238,                 0.9923,                0.99051,                0.99264,                 0.7371,                0.97761,                0.40809,                  1.193,             0.00049493,             0.00049493,             0.00049493
                     20,                0.96547,                0.54111,                   1.22,                  0.985,                0.98754,                0.99219,                0.74302,                0.96607,                0.40465,                 1.1631,              0.0004797,              0.0004797,              0.0004797
                     21,                0.97872,                0.55961,                 1.2386,                0.98058,                0.99073,                0.99234,                0.74152,                0.92937,                0.41617,                 1.1603,             0.00046448,             0.00046448,             0.00046448
                     22,                0.98019,                0.56234,                 1.2416,                0.98978,                0.99267,                0.99211,                0.74225,                0.96624,                0.40735,                 1.1908,             0.00044925,             0.00044925,             0.00044925
                     23,                0.96558,                0.54522,                  1.223,                0.99032,                0.98992,                0.99275,                0.74594,                0.93706,                0.39264,                 1.1555,             0.00043402,             0.00043402,             0.00043402
                     24,                0.94916,                0.52021,                 1.2095,                0.98688,                0.99577,                0.99385,                0.74245,                0.95613,                0.39417,                 1.1652,              0.0004188,              0.0004188,              0.0004188
                     25,                0.94919,                0.51768,                 1.2022,                0.98906,                0.99355,                0.99277,                0.75177,                0.93765,                 0.3835,                 1.1386,             0.00040357,             0.00040357,             0.00040357
                     26,                0.93974,                0.50921,                 1.1967,                 0.9918,                0.99319,                0.99376,                  0.755,                0.94127,                0.37853,                   1.13,             0.00038835,             0.00038835,             0.00038835
                     27,                0.94995,                 0.5159,                 1.2054,                 0.9901,                0.99582,                0.99336,                0.75408,                0.94091,                0.37451,                 1.1511,             0.00037312,             0.00037312,             0.00037312
                     28,                 0.9301,                0.49485,                 1.2055,                0.99031,                0.99769,                0.99313,                0.74762,                0.97123,                0.37628,                 1.1823,             0.00035789,             0.00035789,             0.00035789
                     29,                0.93061,                 0.4958,                 1.1937,                0.98644,                0.99416,                0.99382,                0.75622,                0.94033,                0.37541,                 1.1428,             0.00034267,             0.00034267,             0.00034267
                     30,                  0.928,                0.48155,                 1.1882,                0.99181,                0.99433,                0.99368,                0.74441,                 0.9845,                 0.3799,                 1.1605,             0.00032744,             0.00032744,             0.00032744
